Show_Id,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Listed_In,Description
S12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul",,"September 23, 2021",2021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure","Struggling To Earn A Living In Bangkok, A Man Joins An Emergency Rescue Service And Realizes He Must Unravel A Citywide Conspiracy."
S13,Movie,Je Suis Karl,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","Germany, Czech Republic","September 23, 2021",2021,Tv-Ma,127 Min,"Dramas, International Movies","After Most Of Her Family Is Murdered In A Terrorist Bombing, A Young Woman Is Unknowingly Lured Into Joining The Very Group That Killed Them."
S14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo",,"September 22, 2021",2021,Tv-Pg,91 Min,"Children & Family Movies, Comedies","When The Clever But Socially-Awkward Tetê Joins A New School, She'll Do Anything To Fit In. But The Queen Bee Among Her Classmates Has Other Ideas."
S15,Tv Show,Crime Stories: India Detectives,,,,"September 22, 2021",2021,Tv-Ma,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries",Cameras Following Bengaluru Police On The Job Offer A Rare Glimpse Into The Complex And Challenging Inner Workings Of Four Major Crime Investigations.
S16,Tv Show,Dear White People,,"Logan Browning, Brandon P. Bell, Deron Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito",United States,"September 22, 2021",2021,Tv-Ma,4 Seasons,"Tv Comedies, Tv Dramas","Students Of Color Navigate The Daily Slights And Slippery Politics Of Life At An Ivy League College That's Not Nearly As ""Post-Racial"" As It Thinks."
S17,Movie,Europe's Most Dangerous Man: Otto Skorzeny In Spain,"Pedro De Echave García, Pablo Azorín Williams",,,"September 22, 2021",2020,Tv-Ma,67 Min,"Documentaries, International Movies","Declassified Documents Reveal The Post-Wwii Life Of Otto Skorzeny, A Close Hitler Ally Who Escaped To Spain And Became An Adviser To World Presidents."
S18,Tv Show,Falsa Identidad,,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel Del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Mexico,"September 22, 2021",2020,Tv-Ma,2 Seasons,"Crime Tv Shows, Spanish-Language Tv Shows, Tv Dramas",Strangers Diego And Isabel Flee Their Home In Mexico And Pretend To Be A Married Couple To Escape His Drug-Dealing Enemies And Her Abusive Husband.
S19,Movie,Intrusion,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain",,"September 22, 2021",2021,Tv-14,94 Min,Thrillers,"After A Deadly Home Invasion At A Couple’s New Dream House, The Traumatized Wife Searches For Answers — And Learns The Real Danger Is Just Beginning."
S20,Tv Show,Jaguar,,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski",,"September 22, 2021",2021,Tv-Ma,1 Season,"International Tv Shows, Spanish-Language Tv Shows, Tv Action & Adventure","In The 1960s, A Holocaust Survivor Joins A Group Of Self-Trained Spies Who Seek Justice Against Nazis Fleeing To Spain To Hide After Wwii."
S21,Tv Show,Monsters Inside: The 24 Faces Of Billy Milligan,Olivier Megaton,,,"September 22, 2021",2021,Tv-14,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows","In The Late 1970s, An Accused Serial Rapist Claims Multiple Personalities Control His Behavior, Setting Off A Legal Odyssey That Captivates America."
S22,Tv Show,Resurrection: Ertugrul,,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı",Turkey,"September 22, 2021",2018,Tv-14,5 Seasons,"International Tv Shows, Tv Action & Adventure, Tv Dramas","When A Good Deed Unwittingly Endangers His Clan, A 13th-Century Turkish Warrior Agrees To Fight A Sultan's Enemies In Exchange For New Tribal Land."
S23,Movie,Avvai Shanmughi,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam",,"September 21, 2021",1996,Tv-Pg,161 Min,"Comedies, International Movies","Newly Divorced And Denied Visitation Rights With His Daughter, A Doting Father Disguises Himself As A Gray-Haired Nanny In Order To Spend Time With Her."
S24,Movie,Go! Go! Cory Carson: Chrissy Takes The Wheel,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, Ac Lim",,"September 21, 2021",2021,Tv-Y,61 Min,Children & Family Movies,"From Arcade Games To Sled Days And Hiccup Cures, Cory Carson’s Curious Little Sister Chrissy Speeds Off On Her Own For Fun And Adventure All Over Town!"
S25,Movie,Jeans,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar",India,"September 21, 2021",1998,Tv-14,166 Min,"Comedies, International Movies, Romantic Movies","When The Father Of The Man She Loves Insists That His Twin Sons Marry Twin Sisters, A Woman Creates An Alter Ego That Might Be A Bit Too Convincing."
S26,Tv Show,Love On The Spectrum,,Brooke Satchwell,Australia,"September 21, 2021",2021,Tv-14,2 Seasons,"Docuseries, International Tv Shows, Reality Tv","Finding Love Can Be Hard For Anyone. For Young Adults On The Autism Spectrum, Exploring The Unpredictable World Of Dating Is Even More Complicated."
S27,Movie,Minsara Kanavu,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",,"September 21, 2021",1997,Tv-Pg,147 Min,"Comedies, International Movies, Music & Musicals",A Tangled Love Triangle Ensues When A Man Falls For A Woman Studying To Become A Nun — And She Falls For The Friend He Enlists To Help Him Pursue Her.
S28,Movie,Grown Ups,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten",United States,"September 20, 2021",2010,Pg-13,103 Min,Comedies,"Mourning The Loss Of Their Beloved Junior High Basketball Coach, Five Middle-Aged Pals Reunite At A Lake House And Rediscover The Joys Of Being A Kid."
S29,Movie,Dark Skies,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan",United States,"September 19, 2021",2013,Pg-13,97 Min,"Horror Movies, Sci-Fi & Fantasy","A Family’s Idyllic Suburban Life Shatters When An Alien Force Invades Their Home, And As They Struggle To Convince Others Of The Deadly Threat."
S30,Movie,Paranoia,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian Mcmahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","United States, India, France","September 19, 2021",2013,Pg-13,106 Min,Thrillers,"Blackmailed By His Company's Ceo, A Low-Level Employee Finds Himself Forced To Spy On The Boss's Rival And Former Mentor."
S31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh",,"September 17, 2021",2021,Tv-14,111 Min,"Dramas, Independent Movies, International Movies","As Big City Life Buzzes Around Them, Lonely Souls Discover Surprising Sources Of Connection And Companionship In Three Tales Of Love, Loss And Longing."
S32,Tv Show,Chicago Party Aunt,,"Lauren Ash, Rory O'malley, Rupaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",,"September 17, 2021",2021,Tv-Ma,1 Season,Tv Comedies,Chicago Party Aunt Diane Is An Idolized Troublemaker With A Talent For Avoiding Adulthood — And A Soft Spot For Her Soul-Searching Nephew.
S33,Tv Show,Sex Education,,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie",United Kingdom,"September 17, 2021",2020,Tv-Ma,3 Seasons,"British Tv Shows, International Tv Shows, Tv Comedies","Insecure Otis Has All The Answers When It Comes To Sex Advice, Thanks To His Therapist Mom. So Rebel Maeve Proposes A School Sex-Therapy Clinic."
S34,Tv Show,Squid Game,,"Lee Jung-Jae, Park Hae-Soo, Wi Ha-Jun, Oh Young-Soo, Jung Ho-Yeon, Heo Sung-Tae, Kim Joo-Ryoung, Tripathi Anupam, You Seong-Joo, Lee You-Mi",,"September 17, 2021",2021,Tv-Ma,1 Season,"International Tv Shows, Tv Dramas, Tv Thrillers","Hundreds Of Cash-Strapped Players Accept A Strange Invitation To Compete In Children's Games. Inside, A Tempting Prize Awaits — With Deadly High Stakes."
S35,Tv Show,Tayo And Little Wizards,,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",,"September 17, 2021",2020,Tv-Y7,1 Season,Kids' Tv,Tayo Speeds Into An Adventure When His Friends Get Kidnapped By Evil Magicians Invading Their City In Search Of A Magical Gemstone.
S36,Movie,The Father Who Moves Mountains,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota",,"September 17, 2021",2021,Tv-Ma,110 Min,"Dramas, International Movies, Thrillers","When His Son Goes Missing During A Snowy Hike In The Mountains, A Retired Intelligence Officer Will Stop At Nothing — And Risk Everything — To Find Him."
S37,Movie,The Stronghold,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot",,"September 17, 2021",2021,Tv-Ma,105 Min,"Action & Adventure, Dramas, International Movies","Tired Of The Small-Time Grind, Three Marseille Cops Get A Chance To Bust A Major Drug Network. But Lines Blur When A Key Informant Makes A Big Ask."
S38,Tv Show,Angry Birds,,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen",Finland,"September 16, 2021",2018,Tv-Y7,1 Season,"Kids' Tv, Tv Comedies","Birds Red, Chuck And Their Feathered Friends Have Lots Of Adventures While Guarding Eggs In Their Nest That Pesky Pigs Keep Trying To Steal."
S39,Movie,Birth Of The Dragon,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","China, Canada, United States","September 16, 2021",2017,Pg-13,96 Min,"Action & Adventure, Dramas","A Young Bruce Lee Angers Kung Fu Traditionalists By Teaching Outsiders, Leading To A Showdown With A Shaolin Master In This Film Based On Real Events."
S40,Tv Show,Chhota Bheem,,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil",India,"September 16, 2021",2021,Tv-Y7,3 Seasons,Kids' Tv,"A Brave, Energetic Little Boy With Superhuman Powers Leads His Friends On Exciting Adventures To Guard Their Fellow Dholakpur Villagers From Evil."
S41,Tv Show,He-Man And The Masters Of The Universe,,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",United States,"September 16, 2021",2021,Tv-Y7,1 Season,"Kids' Tv, Tv Sci-Fi & Fantasy",Mighty Teen Adam And His Heroic Squad Of Misfits Discover The Legendary Power Of Grayskull — And Their Destiny To Defend Eternia From Sinister Skeletor.
S42,Movie,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,"September 16, 2021",1975,Pg,124 Min,"Action & Adventure, Classic Movies, Dramas","When An Insatiable Great White Shark Terrorizes Amity Island, A Police Chief, An Oceanographer And A Grizzled Shark Hunter Seek To Destroy The Beast."
S43,Movie,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,"September 16, 2021",1978,Pg,116 Min,"Dramas, Horror Movies, Thrillers","Four Years After The Last Deadly Shark Attacks, Police Chief Martin Brody Fights To Protect Amity Island From Another Killer Great White."
S44,Movie,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon Maccorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,"September 16, 2021",1983,Pg,98 Min,"Action & Adventure, Horror Movies, Thrillers","After The Staff Of A Marine Theme Park Try To Capture A Young Great White Shark, They Discover Its Mother Has Invaded The Enclosure And Is Out For Blood."
S45,Movie,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,"September 16, 2021",1987,Pg-13,91 Min,"Action & Adventure, Horror Movies, Thrillers","After Another Deadly Shark Attack, Ellen Brody Has Had Enough Of Amity Island And Moves To The Caribbean – But A Great White Shark Follows Her There."
S46,Movie,My Heroes Were Cowboys,Tyler Greco,,,"September 16, 2021",2021,Pg,23 Min,Documentaries,"Robin Wiltshire's Painful Childhood Was Rescued By Westerns. Now He Lives On The Frontier Of His Dreams, Training The Horses He Loves For The Big Screen."
S47,Movie,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman","South Africa, United States, Japan","September 16, 2021",2012,R,115 Min,Action & Adventure,Young Cia Operative Matt Weston Must Get A Dangerous Criminal Out Of An Agency Safe House That's Come Under Attack And Get Him To A Securer Location.
S48,Tv Show,The Smart Money Woman,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha Dike, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson",,"September 16, 2021",2020,Tv-Ma,1 Season,"International Tv Shows, Romantic Tv Shows, Tv Comedies","Five Glamorous Millennials Strive For Success As They Juggle Careers, Finances, Love And Friendships. Based On Arese Ugwu's 2016 Best-Selling Novel."
S49,Movie,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,"September 16, 2021",2001,R,122 Min,"Dramas, Thrillers",A Rookie Cop With One Day To Prove Himself To A Veteran Lapd Narcotics Officer Receives A Crash Course In His Mentor's Questionable Brand Of Justice.
S50,Tv Show,Castle And Castle,,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi",Nigeria,"September 15, 2021",2021,Tv-Ma,2 Seasons,"International Tv Shows, Tv Dramas","A Pair Of High-Powered, Successful Lawyers Find Themselves Defending Opposite Interests Of The Justice System, Causing A Strain On Their Happy Marriage."
S51,Tv Show,Dharmakshetra,,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya Dharmchand Kumar, Amit Behl, Maleeka Ghai",India,"September 15, 2021",2014,Tv-Pg,1 Season,"International Tv Shows, Tv Dramas, Tv Sci-Fi & Fantasy","After The Ancient Great War, The God Chitragupta Oversees A Trial To Determine Who Were The Battle's True Heroes And Villains."
S52,Movie,Inuyasha The Movie 2: The Castle Beyond The Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"September 15, 2021",2002,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies","With Their Biggest Foe Seemingly Defeated, Inuyasha And His Friends Return To Everyday Life. But The Peace Is Soon Shattered By An Emerging New Enemy."
S53,Movie,Inuyasha The Movie 3: Swords Of An Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"September 15, 2021",2003,Tv-14,99 Min,"Action & Adventure, Anime Features, International Movies",The Great Dog Demon Beaqueathed One Of The Three Swords Of The Fang To Each Of His Two Sons. Now The Evil Power Of The Third Sword Has Been Awakened.
S54,Movie,Inuyasha The Movie 4: Fire On The Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,"September 15, 2021",2004,Tv-Pg,88 Min,"Action & Adventure, Anime Features, International Movies","Ai, A Young Half-Demon Who Has Escaped From Horai Island To Try To Help Her People, Returns With Potential Saviors Inuyasha, Sesshomaru And Kikyo."
S55,Movie,Inuyasha The Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,"September 15, 2021",2001,Tv-Pg,100 Min,"Action & Adventure, Anime Features, International Movies","A Powerful Demon Has Been Sealed Away For 200 Years. But When The Demon's Son Is Awakened, The Fate Of The World Is In Jeopardy."
S56,Tv Show,Nailed It,,"Nicole Byer, Jacques Torres",United States,"September 15, 2021",2021,Tv-Pg,6 Seasons,Reality Tv,"Home Bakers With A Terrible Track Record Take A Crack At Re-Creating Edible Masterpieces For A $10,000 Prize. It's Part Reality Contest, Part Hot Mess."
S57,Movie,Naruto Shippuden The Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,"September 15, 2021",2011,Tv-14,102 Min,"Action & Adventure, Anime Features, International Movies","Mistakenly Accused Of An Attack On The Fourth Raikage, Ninja Naruto Is Imprisoned In The Impenetrable Hozuki Castle And His Powers Are Sealed."
S58,Movie,Naruto Shippûden The Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,"September 15, 2021",2008,Tv-Pg,93 Min,"Action & Adventure, Anime Features, International Movies","When Strange Ninjas Ambush The Village Of Konohagakure, It's Up To Adolescent Ninja Naruto And His Long-Missing Pal, Sasuke, To Save The Planet."
S59,Movie,Naruto Shippûden The Movie: The Will Of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,"September 15, 2021",2009,Tv-Pg,96 Min,"Action & Adventure, Anime Features, International Movies","When Four Out Of Five Ninja Villages Are Destroyed, The Leader Of The One Spared Tries To Find The True Culprit And Protect His Land."
S60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,"September 15, 2021",2007,Tv-Pg,95 Min,"Action & Adventure, Anime Features, International Movies","The Adventures Of Adolescent Ninja Naruto Uzumaki Continue As He's Tasked With Protecting A Priestess From A Demon – But To Do So, He Must Die."
S61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,"September 15, 2021",2010,Tv-14,85 Min,"Action & Adventure, Anime Features, International Movies","When Naruto Is Sent To Recover A Missing Nin, The Rogue Manages To Send Him 20 Years Into The Past, Where He Unites With His Father To Battle Evil."
S62,Movie,Naruto The Movie 2: Legend Of The Stone Of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,"September 15, 2021",2005,Tv-Pg,97 Min,"Action & Adventure, Anime Features, International Movies","While On A Mission To Return A Missing Pet, Naruto And Two Fellow Ninjas Are Ambushed By Brutal Knights Led By The Enigmatic Temujin."
